step,beta,energy
5870,2.24354,72
5880,2.25546,72
5890,2.26745,72
5900,2.27949,72
5910,2.2916,72
5920,2.30377,72
5930,2.31601,71
5940,2.32832,71
5950,2.34068,71
5960,2.35312,70
5970,2.36562,69
5980,2.37819,69
5990,2.39082,72
6000,2.40352,72
6010,2.41629,71
6020,2.42913,71
6030,2.44203,72
6040,2.455,72
6050,2.46805,72
6060,2.48116,71
6070,2.49434,69
6080,2.50759,70
6090,2.52091,70
6100,2.5343,70
6110,2.54777,69
6120,2.5613,68
6130,2.57491,67
6140,2.58859,67
6150,2.60234,67
6160,2.61616,67
6170,2.63006,64
6180,2.64403,63
6190,2.65808,63
6200,2.6722,63
6210,2.68639,64
6220,2.70067,63
6230,2.71501,64
6240,2.72944,61
6250,2.74394,61
6260,2.75851,62
6270,2.77317,60
6280,2.7879,60
6290,2.80271,58
6300,2.8176,58
6310,2.83257,58
6320,2.84761,58
6330,2.86274,58
6340,2.87795,58
6350,2.89324,57
6360,2.90861,57
6370,2.92406,57
6380,2.93959,56
6390,2.95521,54
6400,2.97091,54
6410,2.98669,52
6420,3.00256,52
6430,3.01851,51
6440,3.03454,51
6450,3.05066,51
6460,3.06687,53
6470,3.08316,53
6480,3.09954,53
6490,3.11601,53
6500,3.13256,52
6510,3.1492,51
6520,3.16593,49
6530,3.18275,50
6540,3.19966,50
6550,3.21666,49
6560,3.23375,49
6570,3.25092,49
6580,3.26819,49
6590,3.28556,49
6600,3.30301,49
6610,3.32056,47
6620,3.3382,47
6630,3.35593,47
6640,3.37376,46
6650,3.39168,46
6660,3.4097,44
6670,3.42781,44
6680,3.44602,44
6690,3.46433,44
6700,3.48273,44
6710,3.50123,44
6720,3.51983,44
6730,3.53853,44
6740,3.55733,43
6750,3.57623,43
6760,3.59523,42
6770,3.61433,43
6780,3.63353,43
6790,3.65283,43
6800,3.67224,43
6810,3.69174,43
6820,3.71136,43
6830,3.73107,43
6840,3.75089,43
6850,3.77082,43
6860,3.79085,42
6870,3.81099,42
6880,3.83123,42
6890,3.85159,42
6900,3.87205,42
6910,3.89262,42
6920,3.9133,41
6930,3.93409,40
6940,3.95499,40
6950,3.976,39
6960,3.99712,39
6970,4.01835,39
6980,4.0397,39
6990,4.06116,39
7000,4.08273,39
7010,4.10442,38
7020,4.12623,37
7030,4.14815,37
7040,4.17018,37
7050,4.19234,36
7060,4.21461,36
7070,4.237,36
7080,4.25951,36
7090,4.28214,36
7100,4.30488,35
7110,4.32775,35
7120,4.35074,35
7130,4.37386,36
7140,4.39709,34
7150,4.42045,34
7160,4.44393,34
7170,4.46754,34
7180,4.49127,34
7190,4.51513,34
7200,4.53912,34
7210,4.56323,34
7220,4.58748,34
7230,4.61185,34
7240,4.63635,34
7250,4.66098,34
7260,4.68574,34
7270,4.71063,34
7280,4.73565,34
7290,4.76081,34
7300,4.7861,34
7310,4.81153,34
7320,4.83709,34
7330,4.86279,34
7340,4.88862,34
7350,4.91459,34
7360,4.9407,34
7370,4.96694,34
7380,4.99333,34
7390,5.01986,34
7400,5.04652,34
7410,5.07333,34
7420,5.10028,33
7430,5.12738,33
7440,5.15462,33
7450,5.182,33
7460,5.20953,32
7470,5.2372,32
7480,5.26503,32
7490,5.293,32
7500,5.32111,32
7510,5.34938,32
7520,5.3778,32
7530,5.40637,33
7540,5.43509,32
7550,5.46396,32
7560,5.49299,32
7570,5.52217,32
7580,5.55151,32
7590,5.581,32
7600,5.61065,32
7610,5.64045,32
7620,5.67042,32
7630,5.70054,31
7640,5.73082,31
7650,5.76127,31
7660,5.79187,31
7670,5.82264,31
7680,5.85357,29
7690,5.88467,29
7700,5.91593,29
7710,5.94736,29
7720,5.97895,29
7730,6.01072,29
7740,6.04265,29
7750,6.07475,29
7760,6.10702,29
7770,6.13946,29
7780,6.17208,27
7790,6.20487,27
7800,6.23783,27
7810,6.27097,27
7820,6.30428,27
7830,6.33777,27
7840,6.37144,27
7850,6.40529,27
7860,6.43932,27
7870,6.47352,27
7880,6.50791,27
7890,6.54249,27
7900,6.57724,27
7910,6.61218,27
7920,6.64731,26
7930,6.68262,26
7940,6.71812,26
7950,6.75381,26
7960,6.78969,26
7970,6.82576,25
7980,6.86202,25
7990,6.89847,25
8000,6.93512,25
8010,6.97196,24
8020,7.009,24
8030,7.04624,24
8040,7.08367,24
8050,7.1213,24
8060,7.15913,24
8070,7.19716,23
8080,7.2354,23
8090,7.27383,22
8100,7.31248,22
8110,7.35132,22
8120,7.39037,22
8130,7.42964,22
8140,7.4691,22
8150,7.50878,22
8160,7.54867,22
8170,7.58877,22
8180,7.62909,22
8190,7.66962,21
8200,7.71036,21
8210,7.75132,21
8220,7.7925,21
8230,7.8339,21
8240,7.87551,21
8250,7.91735,21
8260,7.95941,21
8270,8.00169,21
8280,8.0442,21
8290,8.08694,21
8300,8.1299,21
8310,8.17309,21
8320,8.2165,21
8330,8.26015,21
8340,8.30403,21
8350,8.34815,21
8360,8.3925,21
8370,8.43708,21
8380,8.4819,21
8390,8.52696,21
8400,8.57226,21
8410,8.6178,21
8420,8.66358,21
8430,8.7096,21
8440,8.75587,21
8450,8.80239,21
8460,8.84915,21
8470,8.89616,21
8480,8.94342,21
8490,8.99093,21
8500,9.03869,21
8510,9.08671,21
8520,9.13498,21
8530,9.18351,21
8540,9.2323,21
8550,9.28134,21
8560,9.33065,21
8570,9.38022,21
8580,9.43005,21
8590,9.48014,21
8600,9.5305,21
8610,9.58113,21
8620,9.63203,21
8630,9.6832,21
8640,9.73464,21
8650,9.78636,21
8660,9.83835,21
8670,9.89061,21
8680,9.94315,21
8690,9.99598,21
8700,10.0491,21
8710,10.1025,21
8720,10.1561,21
8730,10.2101,21
8740,10.2643,21
8750,10.3189,21
8760,10.3737,21
8770,10.4288,21
8780,10.4842,21
8790,10.5399,21
8800,10.5959,21
8810,10.6522,21
8820,10.7087,21
8830,10.7656,21
8840,10.8228,21
8850,10.8803,21
8860,10.9381,21
8870,10.9962,21
8880,11.0546,21
8890,11.1134,21
8900,11.1724,21
8910,11.2318,21
8920,11.2914,21
8930,11.3514,21
8940,11.4117,21
8950,11.4723,21
8960,11.5333,21
8970,11.5946,21
8980,11.6561,21
8990,11.7181,21
9000,11.7803,21
9010,11.8429,21
9020,11.9058,21
9030,11.9691,21
9040,12.0326,21
9050,12.0966,21
9060,12.1608,21
9070,12.2254,21
9080,12.2904,21
9090,12.3557,21
9100,12.4213,21
9110,12.4873,21
9120,12.5536,21
9130,12.6203,21
9140,12.6874,21
9150,12.7548,21
9160,12.8225,21
9170,12.8906,21
9180,12.9591,21
9190,13.028,21
9200,13.0972,20
9210,13.1668,20
9220,13.2367,20
9230,13.307,20
9240,13.3777,20
9250,13.4488,20
9260,13.5202,20
9270,13.592,19
9280,13.6643,19
9290,13.7368,19
9300,13.8098,19
9310,13.8832,19
9320,13.9569,19
9330,14.0311,19
9340,14.1056,19
9350,14.1806,19
9360,14.2559,19
9370,14.3316,19
9380,14.4078,19
9390,14.4843,19
9400,14.5612,19
9410,14.6386,19
9420,14.7164,19
9430,14.7945,19
9440,14.8731,19
9450,14.9521,19
9460,15.0316,19
9470,15.1114,19
9480,15.1917,19
9490,15.2724,19
9500,15.3535,19
9510,15.4351,19
9520,15.5171,19
9530,15.5995,19
9540,15.6824,19
9550,15.7657,19
9560,15.8495,19
