step,beta,energy,rho,event
155,3.89083,465.962,13432.9,fracture_detected
156,3.91586,465.962,12288.8,step
156,3.91586,465.962,12288.8,fracture_detected
157,3.9409,465.962,6797.33,step
157,3.9409,465.962,6797.33,fracture_detected
158,3.96594,465.962,3044.87,step
158,3.96594,465.962,3044.87,fracture_detected
159,3.99098,465.962,1289.8,step
159,3.99098,465.962,1289.8,fracture_detected
160,4.01602,465.962,1582.23,step
160,4.01602,465.962,1582.23,fracture_detected
161,4.04105,465.962,1256.09,step
161,4.04105,465.962,1256.09,fracture_detected
162,4.06609,465.962,195.868,step
162,4.06609,465.962,195.868,fracture_detected
163,4.09113,465.962,6295.31,step
163,4.09113,465.962,6295.31,fracture_detected
164,4.11617,465.962,934.455,step
164,4.11617,465.962,934.455,fracture_detected
165,4.1412,465.962,3555.53,step
165,4.1412,465.962,3555.53,fracture_detected
166,4.16624,465.962,3548.74,step
166,4.16624,465.962,3548.74,fracture_detected
167,4.19128,465.962,4279.76,step
167,4.19128,465.962,4279.76,fracture_detected
168,4.21632,465.962,2842.78,step
168,4.21632,465.962,2842.78,fracture_detected
169,4.24135,465.962,5803.37,step
169,4.24135,465.962,5803.37,fracture_detected
170,4.26639,465.962,3578.9,step
170,4.26639,465.962,3578.9,fracture_detected
171,4.29143,465.962,3312.83,step
171,4.29143,465.962,3312.83,fracture_detected
172,4.31647,465.962,8288.2,step
172,4.31647,465.962,8288.2,fracture_detected
173,4.3415,465.962,605.865,step
173,4.3415,465.962,605.865,fracture_detected
174,4.36654,465.962,5972.46,step
174,4.36654,465.962,5972.46,fracture_detected
175,4.39158,465.962,360.748,step
175,4.39158,465.962,360.748,fracture_detected
176,4.41662,465.962,10970.7,step
176,4.41662,465.962,10970.7,fracture_detected
177,4.44165,465.962,6800.28,step
177,4.44165,465.962,6800.28,fracture_detected
178,4.46669,465.962,2347.6,step
178,4.46669,465.962,2347.6,fracture_detected
179,4.49173,465.962,191.955,step
179,4.49173,465.962,191.955,fracture_detected
180,4.51677,465.962,500.127,step
180,4.51677,465.962,500.127,fracture_detected
181,4.5418,465.962,149.926,step
181,4.5418,465.962,149.926,fracture_detected
182,4.56684,465.962,981.041,step
182,4.56684,465.962,981.041,fracture_detected
183,4.59188,465.962,8450.18,step
183,4.59188,465.962,8450.18,fracture_detected
184,4.61692,465.962,9292.68,step
184,4.61692,465.962,9292.68,fracture_detected
185,4.64195,465.962,3963.02,step
185,4.64195,465.962,3963.02,fracture_detected
186,4.66699,465.962,10223.7,step
186,4.66699,465.962,10223.7,fracture_detected
187,4.69203,465.962,11722.1,step
187,4.69203,465.962,11722.1,fracture_detected
188,4.71707,465.962,30527.4,step
188,4.71707,465.962,30527.4,fracture_detected
189,4.74211,465.962,3374.45,step
189,4.74211,465.962,3374.45,fracture_detected
190,4.76714,465.962,5540.79,step
190,4.76714,465.962,5540.79,fracture_detected
191,4.79218,465.962,8180.1,step
191,4.79218,465.962,8180.1,fracture_detected
192,4.81722,465.962,2326.32,step
192,4.81722,465.962,2326.32,fracture_detected
193,4.84226,465.962,14146.4,step
193,4.84226,465.962,14146.4,fracture_detected
194,4.86729,465.962,684.125,step
194,4.86729,465.962,684.125,fracture_detected
195,4.89233,465.962,85.3879,step
195,4.89233,465.962,85.3879,fracture_detected
196,4.91737,465.962,2244.31,step
196,4.91737,465.962,2244.31,fracture_detected
197,4.94241,465.962,2999.97,step
197,4.94241,465.962,2999.97,fracture_detected
198,4.96744,465.962,3033.08,step
198,4.96744,465.962,3033.08,fracture_detected
199,4.99248,465.962,350.96,step
199,4.99248,465.962,350.96,fracture_detected
200,5.01752,465.962,444.106,step
200,5.01752,465.962,444.106,fracture_detected
201,5.04256,465.962,3922.13,step
201,5.04256,465.962,3922.13,fracture_detected
202,5.06759,465.962,13454.8,step
