step,beta,energy,rho,event
116,2.91436,4.82048e+09,9.5753e+12,fracture_detected
117,2.9394,4.82048e+09,1.0668e+13,step
117,2.9394,4.82048e+09,1.0668e+13,fracture_detected
118,2.96444,4.82048e+09,1.09488e+12,step
118,2.96444,4.82048e+09,1.09488e+12,fracture_detected
119,2.98947,4.82048e+09,1.3168e+13,step
119,2.98947,4.82048e+09,1.3168e+13,fracture_detected
120,3.01451,4.82048e+09,8.55964e+12,step
120,3.01451,4.82048e+09,8.55964e+12,fracture_detected
121,3.03955,4.82048e+09,2.98241e+12,step
121,3.03955,4.82048e+09,2.98241e+12,fracture_detected
122,3.06459,4.82048e+09,3.26222e+11,step
122,3.06459,4.82048e+09,3.26222e+11,fracture_detected
123,3.08962,4.82048e+09,4.68327e+12,step
123,3.08962,4.82048e+09,4.68327e+12,fracture_detected
124,3.11466,4.82048e+09,4.88537e+12,step
124,3.11466,4.82048e+09,4.88537e+12,fracture_detected
125,3.1397,4.82048e+09,4.06201e+12,step
125,3.1397,4.82048e+09,4.06201e+12,fracture_detected
126,3.16474,4.82048e+09,2.2907e+13,step
126,3.16474,4.82048e+09,2.2907e+13,fracture_detected
127,3.18977,4.82048e+09,2.37807e+13,step
127,3.18977,4.82048e+09,2.37807e+13,fracture_detected
128,3.21481,4.82048e+09,3.68206e+12,step
128,3.21481,4.82048e+09,3.68206e+12,fracture_detected
129,3.23985,4.82048e+09,2.94342e+12,step
129,3.23985,4.82048e+09,2.94342e+12,fracture_detected
130,3.26489,4.82048e+09,2.06359e+12,step
130,3.26489,4.82048e+09,2.06359e+12,fracture_detected
131,3.28992,4.82048e+09,4.16407e+13,step
131,3.28992,4.82048e+09,4.16407e+13,fracture_detected
132,3.31496,4.82048e+09,3.6628e+13,step
132,3.31496,4.82048e+09,3.6628e+13,fracture_detected
133,3.34,4.82048e+09,3.5815e+12,step
133,3.34,4.82048e+09,3.5815e+12,fracture_detected
134,3.36504,4.82048e+09,1.7569e+12,step
134,3.36504,4.82048e+09,1.7569e+12,fracture_detected
135,3.39008,4.82048e+09,8.66385e+11,step
135,3.39008,4.82048e+09,8.66385e+11,fracture_detected
136,3.41511,4.82048e+09,2.3138e+12,step
136,3.41511,4.82048e+09,2.3138e+12,fracture_detected
137,3.44015,4.82048e+09,3.73875e+12,step
137,3.44015,4.82048e+09,3.73875e+12,fracture_detected
138,3.46519,4.82048e+09,7.69998e+12,step
138,3.46519,4.82048e+09,7.69998e+12,fracture_detected
139,3.49023,4.82048e+09,1.29088e+12,step
139,3.49023,4.82048e+09,1.29088e+12,fracture_detected
140,3.51526,4.82048e+09,1.52942e+12,step
140,3.51526,4.82048e+09,1.52942e+12,fracture_detected
141,3.5403,4.82048e+09,1.60425e+12,step
141,3.5403,4.82048e+09,1.60425e+12,fracture_detected
142,3.56534,4.82048e+09,2.24086e+12,step
142,3.56534,4.82048e+09,2.24086e+12,fracture_detected
143,3.59038,4.82048e+09,1.8887e+11,step
143,3.59038,4.82048e+09,1.8887e+11,fracture_detected
144,3.61541,4.82048e+09,2.26934e+12,step
144,3.61541,4.82048e+09,2.26934e+12,fracture_detected
145,3.64045,4.82048e+09,4.14482e+12,step
145,3.64045,4.82048e+09,4.14482e+12,fracture_detected
146,3.66549,4.82048e+09,4.31309e+12,step
146,3.66549,4.82048e+09,4.31309e+12,fracture_detected
147,3.69053,4.82048e+09,6.31116e+11,step
147,3.69053,4.82048e+09,6.31116e+11,fracture_detected
148,3.71556,4.82048e+09,8.28004e+12,step
148,3.71556,4.82048e+09,8.28004e+12,fracture_detected
149,3.7406,4.82048e+09,9.23329e+12,step
149,3.7406,4.82048e+09,9.23329e+12,fracture_detected
150,3.76564,4.82048e+09,1.57807e+12,step
150,3.76564,4.82048e+09,1.57807e+12,fracture_detected
151,3.79068,4.82048e+09,3.755e+12,step
151,3.79068,4.82048e+09,3.755e+12,fracture_detected
152,3.81571,4.82048e+09,1.75562e+12,step
152,3.81571,4.82048e+09,1.75562e+12,fracture_detected
153,3.84075,4.82048e+09,3.53962e+11,step
153,3.84075,4.82048e+09,3.53962e+11,fracture_detected
154,3.86579,4.82048e+09,4.44754e+11,step
154,3.86579,4.82048e+09,4.44754e+11,fracture_detected
155,3.89083,4.82048e+09,1.2366e+12,step
155,3.89083,4.82048e+09,1.2366e+12,fracture_detected
156,3.91586,4.82048e+09,3.17742e+12,step
156,3.91586,4.82048e+09,3.17742e+12,fracture_detected
157,3.9409,4.82048e+09,8.18146e+11,step
157,3.9409,4.82048e+09,8.18146e+11,fracture_detected
158,3.96594,4.82048e+09,2.34066e+12,step
158,3.96594,4.82048e+09,2.34066e+12,fracture_detected
159,3.99098,4.82048e+09,1.81952e+12,step
159,3.99098,4.82048e+09,1.81952e+12,fracture_detected
160,4.01602,4.82048e+09,4.19874e+12,step
160,4.01602,4.82048e+09,4.19874e+12,fracture_detected
161,4.04105,4.82048e+09,1.6019e+12,step
161,4.04105,4.82048e+09,1.6019e+12,fracture_detected
162,4.06609,4.82048e+09,3.7225e+12,step
162,4.06609,4.82048e+09,3.7225e+12,fracture_detected
163,4.09113,4.82048e+09,5.4185e+11,step
163,4.09113,4.82048e+09,5.4185e+11,fracture_detected
164,4.11617,4.82048e+09,1.19789e+12,step
164,4.11617,4.82048e+09,1.19789e+12,fracture_detected
165,4.1412,4.82048e+09,4.87115e+13,step
165,4.1412,4.82048e+09,4.87115e+13,fracture_detected
166,4.16624,4.82048e+09,3.52855e+13,step
166,4.16624,4.82048e+09,3.52855e+13,fracture_detected
167,4.19128,4.82048e+09,2.00136e+13,step
167,4.19128,4.82048e+09,2.00136e+13,fracture_detected
168,4.21632,4.82048e+09,1.29207e+12,step
168,4.21632,4.82048e+09,1.29207e+12,fracture_detected
169,4.24135,4.82048e+09,2.23952e+11,step
169,4.24135,4.82048e+09,2.23952e+11,fracture_detected
170,4.26639,4.82048e+09,1.40275e+12,step
170,4.26639,4.82048e+09,1.40275e+12,fracture_detected
171,4.29143,4.82048e+09,1.16279e+12,step
171,4.29143,4.82048e+09,1.16279e+12,fracture_detected
172,4.31647,4.82048e+09,6.18799e+12,step
172,4.31647,4.82048e+09,6.18799e+12,fracture_detected
173,4.3415,4.82048e+09,4.41548e+12,step
173,4.3415,4.82048e+09,4.41548e+12,fracture_detected
174,4.36654,4.82048e+09,2.12931e+13,step
174,4.36654,4.82048e+09,2.12931e+13,fracture_detected
175,4.39158,4.82048e+09,1.93198e+13,step
