step,beta,energy,rho,type
143,0.384598,222,4430.59,step
143,0.384598,222,4430.59,fracture_detected
144,0.386589,222,2641.57,step
144,0.386589,222,2641.57,fracture_detected
145,0.388579,222,1898.11,step
145,0.388579,222,1898.11,fracture_detected
146,0.390569,222,3998.82,step
146,0.390569,222,3998.82,fracture_detected
147,0.392559,222,3076.29,step
147,0.392559,222,3076.29,fracture_detected
148,0.394549,222,1373.93,step
148,0.394549,222,1373.93,fracture_detected
149,0.39654,222,741.059,step
149,0.39654,222,741.059,fracture_detected
150,0.39853,222,8680.89,step
150,0.39853,222,8680.89,fracture_detected
151,0.40052,222,9823.75,step
151,0.40052,222,9823.75,fracture_detected
152,0.40251,222,3937.04,step
152,0.40251,222,3937.04,fracture_detected
153,0.4045,222,205.789,step
153,0.4045,222,205.789,fracture_detected
154,0.406491,222,1291.4,step
154,0.406491,222,1291.4,fracture_detected
155,0.408481,222,2624.65,step
155,0.408481,222,2624.65,fracture_detected
156,0.410471,222,4920.45,step
156,0.410471,222,4920.45,fracture_detected
157,0.412461,222,4282.09,step
157,0.412461,222,4282.09,fracture_detected
158,0.414451,222,8717.43,step
158,0.414451,222,8717.43,fracture_detected
159,0.416442,222,2762.59,step
159,0.416442,222,2762.59,fracture_detected
160,0.418432,222,3581.82,step
160,0.418432,222,3581.82,fracture_detected
161,0.420422,222,2274.65,step
161,0.420422,222,2274.65,fracture_detected
162,0.422412,222,1492.75,step
162,0.422412,222,1492.75,fracture_detected
163,0.424402,222,792.025,step
163,0.424402,222,792.025,fracture_detected
164,0.426393,222,2319.26,step
164,0.426393,222,2319.26,fracture_detected
165,0.428383,222,5902.09,step
165,0.428383,222,5902.09,fracture_detected
166,0.430373,222,1296.42,step
166,0.430373,222,1296.42,fracture_detected
167,0.432363,222,208.326,step
167,0.432363,222,208.326,fracture_detected
168,0.434353,222,3239.11,step
168,0.434353,222,3239.11,fracture_detected
169,0.436344,222,3505.62,step
169,0.436344,222,3505.62,fracture_detected
170,0.438334,222,1493.16,step
170,0.438334,222,1493.16,fracture_detected
171,0.440324,222,3999.16,step
171,0.440324,222,3999.16,fracture_detected
172,0.442314,222,2401.32,step
172,0.442314,222,2401.32,fracture_detected
173,0.444304,222,2953.62,step
173,0.444304,222,2953.62,fracture_detected
174,0.446295,222,1564.16,step
174,0.446295,222,1564.16,fracture_detected
175,0.448285,222,8.70888,step
175,0.448285,222,8.70888,fracture_detected
176,0.450275,222,2306.37,step
176,0.450275,222,2306.37,fracture_detected
177,0.452265,222,4402.88,step
177,0.452265,222,4402.88,fracture_detected
178,0.454255,222,1694.08,step
178,0.454255,222,1694.08,fracture_detected
179,0.456246,222,3944.48,step
179,0.456246,222,3944.48,fracture_detected
180,0.458236,222,200.09,step
180,0.458236,222,200.09,fracture_detected
181,0.460226,222,4838.15,step
181,0.460226,222,4838.15,fracture_detected
182,0.462216,222,1850.72,step
182,0.462216,222,1850.72,fracture_detected
183,0.464206,222,4432.92,step
183,0.464206,222,4432.92,fracture_detected
184,0.466197,222,5131.16,step
184,0.466197,222,5131.16,fracture_detected
185,0.468187,222,1644.48,step
185,0.468187,222,1644.48,fracture_detected
186,0.470177,222,6269.3,step
186,0.470177,222,6269.3,fracture_detected
187,0.472167,222,2953.38,step
